"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","lambdaStepTest","Gradle suite","Tue Nov 18 12:10:05 UTC 2025","passed","Tue Nov 18 12:10:05 UTC 2025","com.example.testng.StepTest","Gradle test","com.example.testng.StepTest","lambdaStepTest"
"","25","annotatedStepTest","Gradle suite","Tue Nov 18 12:10:05 UTC 2025","passed","Tue Nov 18 12:10:05 UTC 2025","com.example.testng.StepTest","Gradle test","com.example.testng.StepTest","annotatedStepTest"
